Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0402,5,0.1u,
"C6, C7",0402,2,1u,
CN3,CONN-SMD_YZ199315035T-04025-01,1,Pogo Pin Receptor Right,C5296825
LED1,LED-SMD_L3.2-W2.8-LS5.9_SK6812MINI-E,1,SK6812MINI-E_C5149201,C5149201
"Q1, Q2",SOT-23,2,AO3400A,
"R1, R2, R3, R4, R5, R6, R7, R8",0402,8,10K,
"U1, U10, U12, U13, U14, U15, U16, U17, U19, U20, U21, U24, U25, U27, U28, U29, U30, U31, U32, U33, U35, U4, U6, U9",SLSS49E_Hall_Switch_MX,24,SLSS49E-3,C2904393
"U18, U26, U3, U34",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,4,CD4051BM96,C21379
U2,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,
U7,CONN-SMD_4P-L11.0-W5.5-P2.50_YZ165615055F-04025-01,1,Pogo Pin Left,C5296819
U8,SOT-23-5,1,AP2112K-3.3,
