Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0402,3,10u,
C3,0402,1,0.1u,
"C5, C6",0402,2,1u,
"CN10, CN11, CN12, CN13, CN14, CN3, CN5, CN6, CN7, CN8, CN9",SMD-1_BD2.0-H10.0,11,YTC1P-6030-01,C5221285
CN15,AUDIO-SMD_PJ-327A5JJ,1,MIDI IN,C668605
CN16,AUDIO-SMD_PJ-327A5JJ,1,MIDI OUT,C668605
CN4,CONN-SMD_YZ199315035T-04025-01,1,Pogo Pin Receptor Right,C5296825
D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
D2,SMA_L4.3-W2.6-LS5.2-RD,1,SS34_C8678,C8678
D3,D_SOD-123,1,1N4148W,
F1,F1206,1,BSMD1206-200-6V,C883134
FPC1,FPC-SMD_8P-P0.50_HDGC_0.5K-A-8PB,1,0.5K-A-8PB,C2914134
H2,CONN-SMD_2P-P2.00_XUNPU_WAFER-PH2.0-2PWB,1,WAFER-PH2.0-2PWB,C3029440
"Q1, Q2, Q3",SOT-23,3,AO3401A,
"R1, R20, R3",0402,3,5.1k,
"R2, R24, R4, R6, R7, R8, R9",0402,7,10K,
"R21, R22, R23",0402,3,100K,
R25,0402,1,1M,
R26,0402,1,10,
R27,0402,1,33,
"R28, R29",0402,2,470,
R5,0402,1,22R,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,ESP RST,C720477
SW2,SW-SMD_L3.9-W3.0-P4.45,1,ESP BOOT,C720477
U1,LED-SMD_4P-L3.5-W3.5-BR_SK6812MINI-HS,1,SK6812MINI-HS,C2922787
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U7",DFN1006-2L-BI,15,H3V3U10B,C20615782
U2,SOT-23-5,1,AP2112K-3.3,
U3,SOT-23-5,1,MCP73831-2-OT,
U4,SW-SMD_6P-L5.8-W5.8-P2.00-LS11.3,1,PS-5850SVB-6PL,C5155567
U5,SMD-6_L7.3-W6.5-P2.54-LS10.2-BL,1,H11L1S(TA),C78589
U6,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,
U8,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,
U9,CONN-SMD_4P-L11.0-W5.5-P2.50_YZ165615055F-04025-01,1,Pogo Pin Left,C5296819
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
