Designator,Mid X,Mid Y,Rotation,Layer
C1,65.0494,-31.8796,270.0,top
C2,65.6362,-33.7312,0.0,top
C3,90.9574,-39.9796,0.0,top
C4,58.7502,-42.7202,90.0,top
C5,58.9026,-49.7332,270.0,top
C6,70.6628,-34.2158,90.0,top
CN10,96.52,-64.77,0.0,top
CN11,96.52,-68.834,0.0,top
CN12,55.88,-68.58,0.0,top
CN13,55.88,-64.77,0.0,top
CN14,55.88,-60.96,0.0,top
CN15,88.9,-21.463,0.0,top
CN16,63.5,-21.463,0.0,top
CN3,86.36,-49.53,0.0,top
CN4,53.213,-50.8,90.0,top
CN5,90.17,-49.53,0.0,top
CN6,96.52,-39.37,0.0,top
CN7,96.52,-43.18,0.0,top
CN8,92.71,-43.18,0.0,top
CN9,96.52,-60.96,0.0,top
D1,76.2,-24.638,0.0,top
D2,62.9666,-30.648,90.0,top
D3,90.6638,-36.6883,180.0,top
F1,71.247,-24.4856,270.0,top
FPC1,76.2,-30.48,180.0,top
H2,63.754,-45.974,0.0,top
Q1,94.869,-49.022,90.0,top
Q2,56.3259,-48.9966,90.0,top
Q3,66.233,-29.9466,90.0,top
R1,78.7654,-24.0792,90.0,top
R2,61.976,-38.352,270.0,top
R20,54.5846,-44.1198,270.0,top
R21,67.3354,-31.875,270.0,top
R22,55.1688,-41.3024,270.0,top
R23,95.3008,-46.5074,0.0,top
R24,58.9026,-47.877,270.0,top
R25,71.6534,-34.2158,90.0,top
R26,59.3344,-26.4414,180.0,top
R27,67.5894,-22.7838,90.0,top
R28,83.2744,-27.5697,0.0,top
R29,93.091,-23.2156,90.0,top
R3,73.9902,-24.0284,90.0,top
R4,89.2536,-38.4048,180.0,top
R5,79.9572,-28.3718,0.0,top
R6,85.450625,-46.207625,135.0,top
R7,85.1408,-43.0276,315.0,top
R8,63.8048,-40.3098,270.0,top
R9,64.7954,-40.3098,270.0,top
SW1,57.15,-54.61,90.0,top
SW2,94.996,-54.61,90.0,top
U1,96.52,-33.528,270.0,top
U10,96.9264,-58.3828,270.0,top
U11,97.8408,-58.381,270.0,top
U12,55.3212,-57.5954,270.0,top
U13,54.4322,-57.5954,270.0,top
U14,89.5604,-46.824,270.0,top
U15,97.4598,-36.8164,270.0,top
U16,94.615,-44.7548,90.0,top
U17,92.8878,-45.5794,90.0,top
U18,93.2688,-65.3796,0.0,top
U19,93.2806,-66.294,0.0,top
U2,63.5817,-35.8292,180.0,top
U20,93.2806,-67.2084,0.0,top
U21,59.0414,-64.262,180.0,top
U22,59.0414,-63.3476,180.0,top
U23,59.0414,-62.4332,180.0,top
U3,57.15,-45.212,0.0,top
U4,58.42,-33.528,270.0,top
U5,87.1728,-31.7099,90.0,top
U6,87.8586,-41.7576,225.0,top
U7,87.5538,-45.2002,270.0,top
U8,76.2,-45.73,180.0,top
U9,98.044,-50.8,270.0,top
USBC1,76.2,-19.07,180.0,top
