Designator,Mid X,Mid Y,Rotation,Layer
C1,97.275,-42.895,90.0,top
C6,73.2,-73.4,90.0,top
C7,70.6,-73.4,0.0,top
C8,67.18,-63.3625,180.0,top
CN1,83.0,-46.0,0.0,top
CN10,64.0,-41.0,0.0,top
CN11,106.0,-77.0,0.0,top
CN12,83.0,-32.0,0.0,top
CN14,87.0,-32.0,180.0,top
CN2,85.0,-61.0,90.0,top
CN3,62.075,-59.05,90.0,top
CN4,83.0,-72.0,0.0,top
CN5,83.0,-86.0,0.0,top
CN6,87.0,-86.0,180.0,top
CN7,87.0,-72.0,180.0,top
CN8,85.0,-57.0,270.0,top
CN9,87.0,-46.0,180.0,top
Q3,66.75,-65.8625,90.0,top
Q4,66.7,-70.2625,90.0,top
R1,101.6,-47.9,90.0,top
R10,94.765,-44.175,180.0,top
R11,94.765,-45.175,180.0,top
R12,94.765,-46.175,180.0,top
R13,101.6,-51.6,270.0,top
R14,100.6,-51.61,270.0,top
R15,99.6,-51.6,270.0,top
R16,98.6,-51.6,270.0,top
R17,101.175,-44.45,0.0,top
R18,99.875,-42.875,90.0,top
R19,98.875,-42.875,90.0,top
R2,70.2,-50.41,270.0,top
R20,94.775,-47.175,180.0,top
R29,67.15,-62.3625,0.0,top
R3,70.2,-55.01,90.0,top
R4,67.51,-76.8,180.0,top
R9,96.275,-42.875,90.0,top
U1,79.3,-26.4,90.0,top
U10,89.6,-31.6,270.0,top
U11,69.2,-50.4,90.0,top
U12,82.6,-83.9,0.0,top
U13,80.9,-73.6,0.0,top
U14,85.0,-63.6,90.0,top
U15,83.0,-48.62,90.0,top
U16,80.9,-31.58,270.0,top
U17,103.48,-77.0,0.0,top
U18,64.0,-43.58,90.0,top
U19,79.3,-48.183333,90.0,top
U2,97.975,-46.375,270.0,top
U20,79.3,-69.966667,90.0,top
U21,79.3,-91.75,90.0,top
U22,90.7,-91.7,270.0,top
U23,90.7,-69.933333,270.0,top
U24,90.7,-48.166667,270.0,top
U25,90.7,-26.4,270.0,top
U26,66.25,-73.36,180.0,top
U3,86.92,-49.2,180.0,top
U4,86.42,-55.0,180.0,top
U5,69.2,-54.98,270.0,top
U6,88.88,-73.7,180.0,top
U7,107.325,-59.05,270.0,top
U8,70.6,-75.7,180.0,top
U9,89.1,-86.38,90.0,top
