Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C24, C25, C4, C6, C8",0402,7,10u,
"C10, C12, C26, C9",0402,4,4.7u,
"C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C3, C5, C7",0402,15,100n,
"C27, C28",0402,2,15p,
D2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
D3,SMA_L4.3-W2.6-LS5.2-RD,1,SS34_C8678,C8678
F2,F1206,1,BSMD1206-200-6V,C883134
"H0, H1, H10, H11, H12, H14, H15, H16, H17, H18, H19, H20, H22, H23, H26, H27, H28, H3, H30, H31, H4, H5, H6, H7",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,24,SLSS49E-3,C2904393
"J2, J3",HDR-SMD_8P-P2.54-H-F-L11.5,2,Conn_01x08,
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,AOTA-B201610S3R3-101-T,C42411119
R1,0402,1,33R,
"R2, R6",0402,2,27R,
"R3, R5",0402,2,5.1k,
R4,0402,1,10K,
"R7, R8, R9",0402,3,1K,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,RST,C720477
SW3,SW-SMD_L3.9-W3.0-P4.45,1,RP_BOOT,C720477
U2,SOT-23-5,1,AP2112K-3.3,
U3,QFN-80_L10.0-W10.0-P0.40-TL-EP3.4,1,RP2354B_C39843328,C39843328
"U4, U5, U6, U7",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,4,CD4051BM96,C21379
U8,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,C20625731
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
