Designator,Mid X,Mid Y,Rotation,Layer
C1,98.2218,-85.1154,90.0,bottom
C10,73.9648,-65.7834,270.0,bottom
C11,85.852,-33.4238,90.0,bottom
C12,77.47,-65.2018,180.0,bottom
C13,86.2076,-77.3658,90.0,bottom
C14,74.069,-71.9836,180.0,bottom
C15,74.2976,-67.4878,180.0,bottom
C16,82.296,-62.7888,90.0,bottom
C17,86.995,-65.7098,0.0,bottom
C18,87.1474,-68.5546,0.0,bottom
C19,87.1702,-73.9902,0.0,bottom
C2,99.2378,-85.118,270.0,bottom
C20,87.1728,-73.025,0.0,bottom
C21,74.2976,-68.453,180.0,bottom
C22,74.069,-70.993,180.0,bottom
C23,87.2236,-71.0438,0.0,bottom
C24,85.3948,-39.0652,180.0,bottom
C25,84.7852,-33.4264,90.0,bottom
C26,87.8586,-72.0598,180.0,bottom
C27,80.1116,-79.5762,270.0,bottom
C28,86.2076,-79.2454,270.0,bottom
C3,99.0346,-47.0662,270.0,bottom
C4,98.0044,-47.0662,90.0,bottom
C5,107.696,-66.2178,270.0,bottom
C6,108.712,-66.2178,90.0,bottom
C7,107.8342,-30.2006,270.0,bottom
C8,108.839,-30.2006,90.0,bottom
C9,77.47,-64.2366,0.0,bottom
D2,76.52,-36.8624,0.0,bottom
D3,82.4992,-37.465,270.0,bottom
F2,79.7306,-38.0768,90.0,bottom
H0,149.118,-91.948,180.0,bottom
H1,130.0695,-91.943,180.0,bottom
H10,63.373,-72.898,0.0,bottom
H11,101.473,-72.898,0.0,bottom
H12,120.7555,-72.903,180.0,bottom
H14,139.8055,-72.903,180.0,bottom
H15,44.323,-72.898,0.0,bottom
H16,34.798,-53.848,0.0,bottom
H17,53.848,-53.848,0.0,bottom
H18,72.898,-53.848,0.0,bottom
H19,91.928,-53.848,0.0,bottom
H20,111.1035,-53.853,180.0,bottom
H22,130.155,-53.848,180.0,bottom
H23,149.2035,-53.853,180.0,bottom
H26,63.373,-34.798,0.0,bottom
H27,101.473,-34.798,0.0,bottom
H28,120.523,-34.798,180.0,bottom
H3,110.998,-91.948,180.0,bottom
H30,139.5515,-34.803,180.0,bottom
H31,44.323,-34.798,0.0,bottom
H4,91.928,-91.948,0.0,bottom
H5,72.878,-91.948,0.0,bottom
H6,53.828,-91.948,0.0,bottom
H7,34.798,-91.948,0.0,bottom
J2,38.0125,-73.025,90.0,bottom
J3,145.8835,-73.025,270.0,bottom
L1,77.486,-62.7126,180.0,bottom
R1,74.9554,-65.76,90.0,bottom
R2,79.9592,-63.754,270.0,bottom
R3,70.612,-33.1724,90.0,bottom
R4,87.9348,-34.3916,90.0,bottom
R5,81.8134,-33.1724,90.0,bottom
R6,80.9498,-63.756,270.0,bottom
R7,82.3214,-64.7192,90.0,bottom
R8,80.1116,-77.6204,90.0,bottom
R9,78.9432,-77.599,90.0,bottom
SW1,76.2,-81.28,270.0,bottom
SW3,86.36,-63.5,180.0,bottom
U2,85.852,-36.4744,90.0,bottom
U3,80.7372,-71.1786,90.0,bottom
U4,101.6,-91.44,180.0,bottom
U5,110.998,-72.644,180.0,bottom
U6,101.6,-53.34,180.0,bottom
U7,110.998,-36.576,180.0,bottom
U8,83.4002,-78.8806,0.0,bottom
USB1,76.2,-31.3944,180.0,bottom
