Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C24, C25, C44, C45",0402,6,10u,
"C43, C46, C47",0402,3,1u,
C9,0402,1,100n,
CN1,AUDIO-SMD_PJ-327A5JJ,1,MIDI OUT,C668605
CN2,AUDIO-SMD_PJ-327A5JJ,1,MIDI IN,C668605
"D1, D3",SMA_L4.3-W2.6-LS5.2-RD,2,SS34_C8678,C8678
D2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
F2,F1206,1,BSMD1206-200-6V,C883134
"H0, H1, H2, H3, H4",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,5,SLSS49E-3,C2904393
"J2, J3",HDR-SMD_8P-P2.54-H-F-L11.5,2,Conn_01x08,
"LED1, LED2, LED3",LED-SMD_L3.2-W2.8-LS5.9_SK6812MINI-E,3,SK6812MINI-E_C5149201,C5149201
"R21, R22",0402,2,470,
R23,0402,1,33,
R24,0402,1,10,
"R3, R47, R5",0402,3,5.1k,
R4,0402,1,10K,
R58,0402,1,1M,
SW3,SW-SMD_L3.9-W3.0-P4.45,1,BOOT0,C720477
SW4,SW-SMD_L3.9-W3.0-P4.45,1,RST,C720477
U1,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,
U10,SMD-6_L7.3-W6.5-P2.54-LS10.2-BL,1,H11L1S(TA),C78589
U2,SOT-23-5,1,AP2112K-3.3,
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
