Designator,Mid X,Mid Y,Rotation,Layer
C10,53.015,-52.065,0.0,bottom
C11,68.04,-61.66,0.0,bottom
C24,70.38,-61.69,0.0,bottom
C25,41.47,-65.29,90.0,bottom
C43,30.2,-55.1,180.0,bottom
C44,31.23,-34.96,0.0,bottom
C45,31.98,-32.78,0.0,bottom
C46,31.77,-33.9,0.0,bottom
C47,45.16,-49.01,270.0,bottom
C9,51.035,-52.055,0.0,bottom
CN1,68.58,-34.03,0.0,bottom
CN2,55.88,-34.03,0.0,bottom
D1,61.849,-46.99,90.0,bottom
D2,45.5673,-37.6936,0.0,bottom
D3,29.0068,-31.6484,270.0,bottom
F2,46.9646,-31.5446,270.0,bottom
H0,34.925,-92.075,180.0,bottom
H1,53.995,-82.55,180.0,bottom
H2,34.925,-53.975,180.0,bottom
H3,53.975,-44.45,180.0,bottom
H4,53.995,-63.5,180.0,bottom
J2,38.1,-73.025,90.0,bottom
J3,63.5,-73.025,270.0,bottom
LED1,54.0004,-87.6,180.0,bottom
LED2,54.0004,-68.55,180.0,bottom
LED3,53.975,-49.5,180.0,bottom
R21,50.78,-58.19,90.0,bottom
R22,49.4,-33.39,90.0,bottom
R23,64.11,-40.9,0.0,bottom
R24,72.12,-40.59,180.0,bottom
R3,44.41,-31.0,0.0,bottom
R4,67.1,-58.8,270.0,bottom
R47,30.18,-56.14,180.0,bottom
R5,44.42,-32.01,0.0,bottom
R58,44.11,-49.03,270.0,bottom
SW3,38.1,-58.42,0.0,bottom
SW4,30.84,-58.42,180.0,bottom
U1,35.6098,-43.433,270.0,bottom
U10,57.6072,-56.1233,270.0,bottom
U2,69.7175,-59.37,0.0,bottom
USB1,38.1,-31.6133,180.0,bottom
