Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,0.1u,
"C6, C7",0402,2,10u,
C8,0402,1,1u,
"CN1, CN10, CN11, CN12, CN14, CN2, CN4, CN5, CN6, CN7, CN8, CN9",SMD-1_BD2.0-H10.0,12,YTC1P-6030-01,C5221285
CN3,CONN-SMD_YZ199315035T-04025-01,1,Pogo Pin Receptor Right,C5296825
"Q3, Q4",SOT-23,2,AO3401A,
"R1, R2, R29, R3, R4",0402,5,10K,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R9",0402,12,0R,
"U1, U19, U20, U21, U22, U23, U24, U25",LED-SMD_4P-L3.5-W3.5-BR_SK6812MINI-HS,8,SK6812MINI-HS,C2922787
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U3, U4, U5, U6, U9",DFN1006-2L-BI,14,H3V3U10B,C20615782
U2,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,
U26,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,1,LM66200DRLR,C3235556
U7,CONN-SMD_4P-L11.0-W5.5-P2.50_YZ165615055F-04025-01,1,Pogo Pin Left,C5296819
U8,SOT-23-5,1,AP2112K-3.3,
